UserID,Gender,Age,FavoriteMusicType,WeeklyListeningHours,PaidSubscription,ListeningPlatform,Country,SubscriptionType,GenrePreferenceLevel,DeviceType,ListeningTimeOfDay,NumberOfPlaylists
2309,Male,38,Traditional,18,Yes,NetEase Cloud,Germany,Premium,High,Tablet,Evening,18
2310,Male,40,Chill,13,No,NetEase Cloud,Australia,Family,High,Mobile,Evening,14
2311,Male,36,Oldies,8,No,Apple Music,UK,Family,High,Mobile,Night,26
2312,Male,29,Pop,24,Yes,YouTube Music,UK,Premium,High,PC,Afternoon,77
2313,Male,35,Oldies,19,Yes,Apple Music,UK,Premium,Low,Tablet,Night,10
2314,Male,23,EDM,8,Yes,Spotify,Brazil,Student,Medium,Mobile,Afternoon,44
2315,Female,35,Chill,7,Yes,YouTube Music,Australia,Premium,High,Mobile,Night,24
2316,Female,36,Oldies,28,Yes,YouTube Music,Brazil,Family,Low,Mobile,Evening,34
2317,Male,39,Chill,25,Yes,Amazon Music,Australia,Premium,High,Mobile,Evening,40
2318,Male,22,Chill,27,No,YouTube Music,Korea,Premium,Medium,Mobile,Morning,85
2319,Female,41,Oldies,30,Yes,YouTube Music,India,Family,Medium,Mobile,Afternoon,35
2320,Male,26,Chill,26,Yes,Spotify,Brazil,Premium,Medium,PC,Afternoon,83
2321,Female,44,Traditional,18,Yes,NetEase Cloud,Germany,Free,High,Mobile,Afternoon,12
2322,Female,20,J-Pop,13,No,Apple Music,USA,Free,High,Mobile,Morning,43
2323,Female,45,Jazz,23,Yes,NetEase Cloud,India,Premium,High,Mobile,Afternoon,29
2324,Female,27,J-Pop,10,Yes,YouTube Music,Germany,Family,Low,Mobile,Morning,82
2325,Female,36,Traditional,7,Yes,NetEase Cloud,Brazil,Family,Low,Mobile,Morning,33
2326,Male,20,Pop,22,Yes,Apple Music,Germany,Premium,Medium,Mobile,Morning,44
2327,Male,39,Oldies,20,Yes,Amazon Music,UK,Premium,Medium,Mobile,Morning,31
2328,Female,32,Traditional,7,No,Amazon Music,France,Family,High,Mobile,Night,16
2329,Male,18,Pop,6,No,YouTube Music,Korea,Family,Medium,Mobile,Evening,99
2330,Female,24,K-Pop,6,No,Spotify,Australia,Family,Medium,PC,Afternoon,65
2331,Male,29,Pop,30,No,Apple Music,Japan,Premium,Low,Mobile,Evening,68
2332,Male,34,J-Pop,27,No,Apple Music,France,Family,Medium,Mobile,Afternoon,22
2333,Male,38,Traditional,14,No,Amazon Music,USA,Premium,High,Tablet,Evening,5
2334,Male,43,EDM,19,Yes,Apple Music,Australia,Free,Low,Mobile,Morning,20
2335,Male,41,Jazz,7,Yes,Apple Music,Japan,Free,High,Mobile,Evening,37
2336,Male,37,Traditional,12,Yes,QQ Music,China,Premium,High,Tablet,Morning,15
2337,Male,22,Pop,22,Yes,NetEase Cloud,China,Premium,Low,PC,Evening,36
2338,Male,21,Traditional,15,Yes,YouTube Music,USA,Student,High,Mobile,Morning,98
2339,Female,45,Traditional,11,No,Apple Music,China,Premium,Medium,Mobile,Evening,21
2340,Female,29,Pop,23,Yes,YouTube Music,USA,Premium,Medium,Tablet,Morning,55
2341,Male,37,Rock,29,No,NetEase Cloud,China,Family,Low,Mobile,Afternoon,20
2342,Male,45,Oldies,11,No,NetEase Cloud,Japan,Free,Medium,Mobile,Night,11
2343,Male,41,Chill,29,Yes,NetEase Cloud,India,Premium,High,Mobile,Morning,28
2344,Female,35,J-Pop,6,Yes,Apple Music,India,Premium,Low,Mobile,Evening,34
2345,Male,34,Oldies,10,Yes,Amazon Music,Brazil,Premium,Low,Mobile,Afternoon,39
2346,Male,36,Rock,9,Yes,YouTube Music,India,Premium,High,Mobile,Morning,33
2347,Female,26,Chill,18,Yes,YouTube Music,Korea,Premium,High,Mobile,Evening,59
2348,Female,21,Rock,22,No,Apple Music,Brazil,Family,High,PC,Night,57
2349,Female,43,Jazz,8,Yes,YouTube Music,UK,Premium,Low,Tablet,Night,18
2350,Male,38,Jazz,8,No,YouTube Music,Korea,Premium,Low,Tablet,Evening,15
2351,Female,19,Traditional,28,No,YouTube Music,Korea,Premium,High,Mobile,Morning,54
2352,Male,21,EDM,17,Yes,Spotify,USA,Premium,Low,Mobile,Afternoon,92
2353,Female,19,EDM,27,No,Spotify,Australia,Premium,High,PC,Evening,44
2354,Male,32,Jazz,25,Yes,Amazon Music,India,Premium,Medium,Mobile,Night,32
2355,Male,19,Pop,29,No,Apple Music,India,Premium,Low,Mobile,Evening,88
2356,Male,21,Pop,5,Yes,Apple Music,China,Free,Low,PC,Evening,39
2357,Female,23,J-Pop,24,No,Spotify,Korea,Student,Low,Mobile,Afternoon,38
2358,Male,24,K-Pop,9,Yes,Spotify,India,Free,High,PC,Afternoon,65
2359,Male,27,EDM,28,No,Spotify,Korea,Premium,Low,Tablet,Evening,99
2360,Male,36,Jazz,7,Yes,Amazon Music,USA,Free,High,Mobile,Evening,10
2361,Female,36,Traditional,25,Yes,Apple Music,USA,Premium,Low,Mobile,Afternoon,26
2362,Male,43,Jazz,23,Yes,NetEase Cloud,Australia,Premium,Low,Mobile,Afternoon,23
2363,Male,39,Traditional,17,No,NetEase Cloud,India,Family,Low,Tablet,Morning,31
2364,Male,29,Rock,11,No,Spotify,Korea,Family,Low,Tablet,Morning,70
2365,Male,20,J-Pop,14,No,NetEase Cloud,China,Student,Medium,PC,Morning,74
2366,Female,30,Pop,7,No,Apple Music,China,Premium,Medium,Mobile,Morning,32
2367,Male,35,Chill,27,Yes,QQ Music,China,Premium,Medium,Mobile,Evening,19
2368,Female,25,EDM,6,Yes,Apple Music,Brazil,Family,High,Mobile,Evening,89
2369,Female,38,Chill,11,Yes,Apple Music,China,Premium,Medium,Mobile,Morning,14
2370,Male,32,Chill,13,No,NetEase Cloud,UK,Family,High,Tablet,Evening,40
2371,Female,18,EDM,25,No,YouTube Music,India,Premium,Medium,PC,Afternoon,84
2372,Female,20,EDM,16,Yes,YouTube Music,Korea,Student,High,Tablet,Afternoon,61
2373,Female,43,Traditional,26,No,Apple Music,India,Family,Low,Mobile,Morning,37
2374,Male,25,Pop,14,No,Apple Music,UK,Free,Low,PC,Evening,87
2375,Female,21,K-Pop,23,Yes,Apple Music,India,Family,Medium,Tablet,Afternoon,38
2376,Female,33,Chill,17,No,NetEase Cloud,USA,Premium,High,Tablet,Evening,15
2377,Male,40,Chill,14,Yes,Amazon Music,Brazil,Free,Low,Mobile,Afternoon,26
2378,Male,27,K-Pop,9,No,Spotify,France,Premium,Low,Tablet,Evening,92
2379,Female,29,Pop,19,Yes,Spotify,France,Family,Medium,Tablet,Afternoon,52
2380,Female,31,K-Pop,25,Yes,NetEase Cloud,Japan,Premium,High,Tablet,Afternoon,17
2381,Female,31,Jazz,7,Yes,Apple Music,Australia,Free,Low,Mobile,Afternoon,28
2382,Male,19,Rock,12,Yes,Apple Music,USA,Free,High,Tablet,Morning,48
2383,Female,40,Oldies,10,Yes,YouTube Music,Australia,Family,High,Mobile,Evening,21
2384,Male,22,EDM,23,No,QQ Music,China,Student,High,Mobile,Morning,78
2385,Female,22,Oldies,21,Yes,NetEase Cloud,China,Premium,High,PC,Evening,76
2386,Female,23,EDM,14,No,Apple Music,France,Free,High,Tablet,Afternoon,66
2387,Male,30,Rock,5,Yes,Apple Music,India,Premium,Medium,Mobile,Night,23
2388,Female,26,Oldies,17,No,QQ Music,China,Family,Medium,Mobile,Morning,45
2389,Male,39,Traditional,14,Yes,YouTube Music,Australia,Free,Low,Mobile,Afternoon,8
2390,Female,45,Chill,16,Yes,Amazon Music,Korea,Free,High,Mobile,Morning,22
2391,Male,32,Chill,6,Yes,YouTube Music,USA,Family,High,Mobile,Night,14
2392,Male,31,Traditional,14,Yes,Apple Music,Brazil,Free,Low,Mobile,Evening,24
2393,Female,41,Oldies,25,Yes,YouTube Music,India,Free,High,Mobile,Evening,29
2394,Male,24,Chill,27,No,YouTube Music,Japan,Free,Low,PC,Night,89
2395,Female,42,EDM,5,Yes,Apple Music,Japan,Family,Medium,Mobile,Night,21
2396,Male,37,EDM,5,Yes,NetEase Cloud,France,Free,High,Mobile,Evening,15
2397,Male,19,J-Pop,24,No,YouTube Music,India,Premium,High,Mobile,Night,79
2398,Male,24,K-Pop,30,Yes,YouTube Music,France,Student,High,Tablet,Afternoon,92
2399,Female,23,Jazz,19,No,YouTube Music,France,Student,High,Tablet,Morning,78
2400,Male,34,Traditional,26,No,YouTube Music,USA,Free,High,Mobile,Morning,35
2401,Male,44,Chill,29,No,NetEase Cloud,China,Free,Medium,Mobile,Morning,33
2402,Male,42,Pop,5,Yes,Amazon Music,USA,Free,High,Mobile,Morning,11
2403,Female,42,Traditional,30,Yes,YouTube Music,Germany,Family,High,Mobile,Morning,31
2404,Female,45,Oldies,25,Yes,Amazon Music,Australia,Premium,Low,Mobile,Morning,12
2405,Male,19,Pop,13,Yes,Spotify,Brazil,Family,Medium,Mobile,Evening,46
2406,Male,20,J-Pop,28,Yes,YouTube Music,Brazil,Family,High,Tablet,Evening,37
2407,Female,22,EDM,11,No,Apple Music,Germany,Student,High,Tablet,Morning,94
2408,Male,22,EDM,20,Yes,Apple Music,USA,Free,Medium,PC,Morning,82
2409,Male,18,J-Pop,20,Yes,Spotify,India,Family,Low,Mobile,Night,47
2410,Male,25,Pop,17,Yes,Apple Music,Australia,Free,Medium,Tablet,Night,56
2411,Male,29,Traditional,14,Yes,YouTube Music,Korea,Premium,Medium,Tablet,Night,38
2412,Male,41,Oldies,22,Yes,YouTube Music,UK,Premium,Low,Mobile,Morning,21
2413,Male,21,J-Pop,13,No,QQ Music,China,Premium,Medium,PC,Night,88
2414,Female,30,Pop,16,Yes,NetEase Cloud,India,Free,Low,Mobile,Morning,10
2415,Male,40,Traditional,28,No,YouTube Music,Australia,Family,Low,Mobile,Evening,5
2416,Male,32,Jazz,17,No,NetEase Cloud,China,Premium,High,Mobile,Afternoon,39
2417,Female,28,Rock,15,No,Spotify,France,Family,High,PC,Evening,88
2418,Female,27,EDM,19,Yes,YouTube Music,India,Premium,Medium,Tablet,Morning,100
2419,Female,20,Pop,14,Yes,Spotify,Japan,Free,High,Tablet,Morning,36
2420,Female,39,Oldies,14,Yes,YouTube Music,USA,Free,Low,Mobile,Evening,21
2421,Male,31,J-Pop,13,No,Apple Music,Australia,Free,Low,Mobile,Evening,9
2422,Female,33,Oldies,29,No,Amazon Music,Brazil,Premium,Medium,Mobile,Night,38
2423,Male,27,Pop,29,No,Apple Music,Korea,Family,Medium,Tablet,Night,78
2424,Female,27,Rock,7,Yes,NetEase Cloud,China,Free,High,Mobile,Afternoon,43
2425,Female,29,Rock,27,Yes,Apple Music,Brazil,Family,Medium,PC,Night,71
2426,Female,26,Oldies,20,Yes,YouTube Music,Germany,Family,Medium,Mobile,Night,91
2427,Male,18,Chill,16,Yes,Apple Music,Germany,Premium,Medium,Tablet,Night,93
2428,Female,22,Pop,21,Yes,Spotify,Korea,Family,Low,Tablet,Afternoon,55
2429,Female,37,Oldies,29,Yes,NetEase Cloud,Germany,Free,High,Mobile,Night,23
2430,Female,25,EDM,19,No,Spotify,USA,Free,Low,PC,Night,90
2431,Male,28,Traditional,29,No,Spotify,Germany,Family,Low,Mobile,Evening,43
2432,Male,29,J-Pop,7,No,Spotify,USA,Free,Medium,PC,Evening,86
2433,Female,18,EDM,9,No,Apple Music,Germany,Student,Low,Tablet,Night,90
2434,Male,42,J-Pop,17,No,Amazon Music,India,Premium,High,Mobile,Evening,23
2435,Female,39,Chill,28,Yes,YouTube Music,France,Free,High,Mobile,Morning,26
2436,Male,37,Traditional,10,Yes,YouTube Music,Korea,Family,High,Tablet,Evening,7
2437,Female,45,Oldies,30,No,NetEase Cloud,China,Family,Low,Mobile,Afternoon,39
2438,Male,42,Chill,30,Yes,NetEase Cloud,India,Family,Low,Mobile,Night,33
2439,Female,28,Rock,13,Yes,QQ Music,China,Family,Low,PC,Morning,53
2440,Male,22,EDM,23,Yes,Spotify,UK,Premium,High,Mobile,Evening,86
2441,Male,32,Oldies,11,Yes,Apple Music,France,Family,High,Mobile,Morning,25
2442,Female,22,J-Pop,17,Yes,Apple Music,Australia,Free,High,Mobile,Morning,81
2443,Female,29,Traditional,26,Yes,Apple Music,Australia,Premium,Low,PC,Night,88
2444,Male,22,Rock,9,Yes,Apple Music,Germany,Free,High,Tablet,Morning,37
2445,Female,34,Jazz,20,Yes,Amazon Music,Japan,Family,High,Mobile,Afternoon,33
2446,Female,34,Traditional,8,No,Apple Music,Brazil,Premium,Medium,Tablet,Morning,37
2447,Female,41,Chill,9,No,Apple Music,France,Premium,Low,Mobile,Night,25
2448,Female,29,Pop,24,No,YouTube Music,India,Free,Low,PC,Afternoon,71
2449,Male,41,Oldies,23,No,NetEase Cloud,China,Free,High,Mobile,Afternoon,39
2450,Female,45,Traditional,27,Yes,Apple Music,Brazil,Family,Medium,Mobile,Afternoon,25
2451,Male,32,J-Pop,10,No,Amazon Music,Korea,Premium,Medium,Mobile,Afternoon,29
2452,Male,32,Traditional,8,Yes,NetEase Cloud,France,Family,High,Mobile,Morning,31
2453,Female,23,EDM,29,No,YouTube Music,France,Premium,Medium,PC,Evening,91
2454,Female,29,Pop,5,Yes,Apple Music,Korea,Free,High,Tablet,Evening,86
2455,Male,44,Oldies,21,No,Amazon Music,Brazil,Family,Low,Mobile,Evening,21
2456,Female,37,Jazz,13,Yes,Apple Music,China,Premium,Medium,Mobile,Evening,14
2457,Female,35,Jazz,20,Yes,Amazon Music,UK,Free,Medium,Tablet,Evening,33
2458,Male,31,Oldies,27,No,YouTube Music,Korea,Free,Medium,Mobile,Night,31
2459,Male,19,Traditional,6,No,YouTube Music,Korea,Family,High,Mobile,Evening,69
2460,Male,26,Rock,15,Yes,Apple Music,Japan,Family,Low,Tablet,Night,85
2461,Female,22,J-Pop,30,No,Apple Music,China,Premium,Medium,Mobile,Evening,88
2462,Female,37,Chill,9,Yes,Amazon Music,UK,Family,Low,Tablet,Evening,18
2463,Male,43,Chill,17,No,Amazon Music,Brazil,Free,Low,Mobile,Afternoon,33
2464,Male,18,J-Pop,24,Yes,YouTube Music,Australia,Family,Medium,Tablet,Morning,60
2465,Female,40,Pop,21,No,NetEase Cloud,Germany,Family,Low,Mobile,Afternoon,36
2466,Female,20,EDM,29,Yes,Apple Music,China,Student,High,PC,Evening,85
2467,Female,23,J-Pop,19,No,Apple Music,UK,Student,High,PC,Night,44
2468,Male,22,Pop,26,Yes,Apple Music,Germany,Premium,High,Mobile,Evening,86
2469,Female,38,Traditional,16,Yes,Apple Music,India,Premium,Low,Tablet,Evening,35
2470,Female,44,Traditional,10,Yes,Amazon Music,India,Free,High,Mobile,Morning,6
2471,Male,22,J-Pop,24,Yes,Apple Music,UK,Student,Medium,Tablet,Afternoon,88
2472,Female,18,Pop,17,Yes,YouTube Music,Japan,Free,Low,Tablet,Morning,33
2473,Male,34,Oldies,22,No,Amazon Music,Germany,Family,High,Tablet,Afternoon,7
2474,Female,36,Jazz,28,Yes,NetEase Cloud,Brazil,Premium,High,Mobile,Afternoon,28
2475,Male,31,Jazz,19,Yes,NetEase Cloud,UK,Premium,High,Mobile,Evening,27
2476,Male,29,Jazz,19,Yes,Apple Music,Brazil,Free,High,Tablet,Afternoon,59
2477,Male,27,Rock,12,Yes,NetEase Cloud,China,Premium,Medium,Tablet,Afternoon,78
2478,Female,37,Pop,23,Yes,Apple Music,Brazil,Family,High,Mobile,Morning,12
2479,Female,38,Rock,27,No,Amazon Music,USA,Premium,Medium,Mobile,Afternoon,15
2480,Female,35,K-Pop,18,Yes,YouTube Music,France,Free,Low,Mobile,Morning,13
2481,Female,41,J-Pop,11,Yes,NetEase Cloud,USA,Premium,Medium,Mobile,Afternoon,33
2482,Male,44,Traditional,18,Yes,Apple Music,Japan,Premium,High,Tablet,Morning,22
2483,Female,28,Pop,9,No,Apple Music,UK,Free,High,Mobile,Evening,69
2484,Female,19,Rock,19,No,Apple Music,Australia,Family,Low,Tablet,Afternoon,42
2485,Male,42,Jazz,25,No,YouTube Music,France,Family,Medium,Mobile,Morning,13
2486,Male,35,Traditional,19,Yes,NetEase Cloud,India,Free,High,Tablet,Morning,38
2487,Male,42,Oldies,28,No,YouTube Music,UK,Premium,Medium,Mobile,Evening,9
2488,Male,24,J-Pop,8,No,QQ Music,China,Premium,High,Tablet,Evening,50
2489,Female,41,Traditional,5,No,YouTube Music,Japan,Free,Low,Tablet,Morning,17
2490,Male,32,Jazz,21,Yes,NetEase Cloud,UK,Family,Medium,Mobile,Morning,23
2491,Female,28,Pop,29,No,YouTube Music,Japan,Family,High,Tablet,Morning,75
2492,Female,35,EDM,24,Yes,Amazon Music,Brazil,Family,Low,Mobile,Afternoon,22
2493,Male,40,Chill,5,Yes,Amazon Music,Brazil,Family,High,Mobile,Afternoon,33
2494,Male,29,Pop,20,Yes,QQ Music,China,Family,High,Tablet,Morning,62
2495,Male,23,EDM,17,No,Apple Music,Brazil,Family,Low,PC,Evening,42
2496,Male,37,Jazz,22,No,NetEase Cloud,Korea,Family,Medium,Tablet,Evening,13
2497,Male,40,Oldies,14,No,Amazon Music,Germany,Free,Medium,Mobile,Night,24
2498,Female,30,Rock,27,No,Amazon Music,Australia,Premium,Low,Mobile,Night,36
2499,Male,37,EDM,22,No,NetEase Cloud,Brazil,Family,Low,Mobile,Evening,37
2500,Female,33,Jazz,21,No,YouTube Music,USA,Premium,Low,Mobile,Afternoon,33
2501,Male,35,Traditional,30,Yes,NetEase Cloud,Brazil,Free,Low,Mobile,Evening,15
2502,Female,27,J-Pop,13,Yes,Apple Music,France,Free,Medium,PC,Evening,53
2503,Female,45,Oldies,18,No,YouTube Music,Korea,Premium,Low,Mobile,Morning,6
2504,Female,40,Jazz,25,Yes,Apple Music,UK,Free,Low,Mobile,Evening,20
2505,Male,25,Rock,17,No,Spotify,Germany,Free,Medium,PC,Night,62
2506,Male,35,Pop,24,No,YouTube Music,Japan,Free,High,Mobile,Afternoon,8
2507,Male,38,Chill,24,Yes,NetEase Cloud,USA,Premium,High,Mobile,Night,25
2508,Female,18,Rock,18,No,Spotify,USA,Family,Medium,PC,Afternoon,64
2509,Female,40,Jazz,15,Yes,YouTube Music,Korea,Premium,Medium,Tablet,Night,6
2510,Male,25,Jazz,17,Yes,YouTube Music,France,Family,Medium,Tablet,Morning,73
2511,Male,23,Rock,21,Yes,QQ Music,China,Student,Medium,Tablet,Morning,79
2512,Female,22,K-Pop,7,No,NetEase Cloud,China,Premium,Low,Tablet,Afternoon,49
2513,Female,32,Jazz,5,No,Amazon Music,Korea,Family,Low,Tablet,Morning,14
2514,Male,39,Oldies,25,Yes,Amazon Music,India,Free,Medium,Mobile,Afternoon,15
2515,Male,32,Chill,9,Yes,Apple Music,UK,Free,High,Tablet,Evening,7
2516,Male,19,Pop,29,Yes,NetEase Cloud,China,Student,High,Mobile,Afternoon,53
2517,Female,18,Pop,17,Yes,Apple Music,Japan,Premium,Medium,PC,Night,64
2518,Female,40,Traditional,28,Yes,Apple Music,Germany,Family,Medium,Mobile,Afternoon,18
2519,Male,40,Traditional,9,No,YouTube Music,Japan,Free,High,Mobile,Evening,29
2520,Male,43,Jazz,9,No,Amazon Music,Germany,Free,High,Mobile,Evening,28
2521,Male,28,Rock,27,No,Apple Music,Germany,Premium,Low,Tablet,Evening,90
2522,Male,27,Oldies,16,Yes,Apple Music,UK,Premium,High,Mobile,Morning,32
2523,Male,35,Jazz,6,Yes,Apple Music,Australia,Free,High,Mobile,Morning,39
2524,Female,35,Chill,27,No,YouTube Music,UK,Premium,High,Tablet,Night,9
2525,Male,34,Jazz,20,No,YouTube Music,India,Free,High,Mobile,Morning,17
2526,Female,43,Jazz,21,Yes,YouTube Music,Japan,Free,Low,Mobile,Afternoon,13
2527,Female,25,EDM,9,Yes,Apple Music,Australia,Free,Low,Mobile,Evening,66
2528,Female,32,Chill,16,No,Amazon Music,France,Premium,Low,Tablet,Morning,28
2529,Female,25,Pop,19,Yes,YouTube Music,Korea,Premium,High,Mobile,Morning,95
2530,Female,34,Chill,10,No,Amazon Music,USA,Family,Low,Mobile,Night,8
2531,Female,29,Chill,17,Yes,Spotify,Australia,Family,Medium,Mobile,Morning,77
2532,Female,44,Oldies,15,Yes,Amazon Music,Japan,Free,Low,Mobile,Morning,9
2533,Female,25,Rock,30,No,Apple Music,Japan,Premium,High,Mobile,Evening,56
2534,Male,42,Oldies,21,Yes,NetEase Cloud,Japan,Family,High,Mobile,Night,40
2535,Male,31,Oldies,13,Yes,YouTube Music,Japan,Family,Medium,Mobile,Evening,23
2536,Male,21,EDM,29,Yes,Spotify,Australia,Free,Low,PC,Morning,84
2537,Male,18,K-Pop,20,No,Spotify,Germany,Student,Medium,Tablet,Afternoon,72
2538,Male,18,Rock,21,No,YouTube Music,Germany,Student,High,Mobile,Evening,72
2539,Female,36,Oldies,24,Yes,Amazon Music,India,Free,Low,Mobile,Afternoon,33
2540,Female,33,Oldies,28,No,NetEase Cloud,Brazil,Premium,Low,Tablet,Afternoon,40
2541,Female,31,Rock,22,Yes,NetEase Cloud,Australia,Family,Low,Mobile,Evening,20
2542,Female,38,Chill,17,Yes,Apple Music,France,Free,Medium,Tablet,Night,13
2543,Female,33,Jazz,15,Yes,Apple Music,USA,Family,High,Tablet,Afternoon,18
2544,Male,22,EDM,17,No,Apple Music,Australia,Premium,Low,Mobile,Evening,55
2545,Male,26,Pop,28,Yes,YouTube Music,USA,Premium,Medium,Mobile,Morning,69
2546,Female,43,Oldies,30,Yes,Apple Music,China,Family,Medium,Mobile,Evening,23
2547,Male,45,Traditional,17,Yes,Apple Music,France,Premium,Low,Tablet,Morning,25
2548,Male,19,EDM,16,Yes,YouTube Music,France,Free,Medium,Tablet,Night,100
2549,Male,35,Traditional,18,No,NetEase Cloud,China,Premium,High,Mobile,Afternoon,20
2550,Male,23,Traditional,17,Yes,YouTube Music,Germany,Premium,Low,Mobile,Night,87
2551,Male,26,Rock,29,Yes,Spotify,France,Free,Medium,Tablet,Night,31
2552,Female,18,K-Pop,13,Yes,Apple Music,China,Premium,Medium,Tablet,Afternoon,84
2553,Male,26,J-Pop,18,Yes,Apple Music,Germany,Family,Low,Tablet,Morning,32
2554,Male,42,Traditional,5,No,YouTube Music,Australia,Free,Medium,Mobile,Evening,26
2555,Female,33,Jazz,13,Yes,Amazon Music,India,Free,High,Mobile,Morning,19
2556,Female,30,Traditional,8,Yes,Apple Music,China,Family,Medium,Mobile,Afternoon,9
2557,Female,26,EDM,16,No,YouTube Music,USA,Family,High,Tablet,Morning,66
2558,Female,38,Traditional,28,Yes,YouTube Music,USA,Free,Low,Mobile,Morning,12
2559,Female,30,Rock,18,No,NetEase Cloud,Australia,Family,Low,Tablet,Morning,33
2560,Female,26,Pop,13,No,Apple Music,Japan,Free,Medium,Mobile,Afternoon,87
2561,Female,28,Jazz,7,Yes,Spotify,Korea,Free,High,Mobile,Night,30
2562,Female,21,Rock,10,Yes,Apple Music,France,Free,Medium,PC,Evening,55
2563,Male,19,Jazz,7,Yes,Spotify,Japan,Free,High,Tablet,Night,92
2564,Female,23,Rock,5,No,Spotify,France,Free,Low,Mobile,Evening,74
2565,Female,31,Oldies,30,No,YouTube Music,UK,Free,Low,Mobile,Afternoon,13
2566,Male,21,J-Pop,26,Yes,Apple Music,UK,Free,Low,Tablet,Afternoon,36
2567,Female,23,K-Pop,25,Yes,Spotify,France,Student,Low,Mobile,Morning,83
2568,Female,36,Oldies,7,No,YouTube Music,France,Family,High,Tablet,Evening,18
2569,Female,23,Pop,18,Yes,Apple Music,France,Family,High,PC,Night,98
2570,Female,19,Rock,24,Yes,YouTube Music,India,Student,Medium,PC,Evening,90
2571,Male,35,Pop,6,Yes,Apple Music,China,Family,Medium,Mobile,Evening,39
2572,Male,30,EDM,16,No,QQ Music,China,Free,Medium,Mobile,Afternoon,33
2573,Female,26,EDM,30,Yes,Apple Music,Japan,Family,Medium,Mobile,Evening,38
2574,Male,40,Traditional,14,Yes,YouTube Music,Germany,Premium,Medium,Tablet,Morning,10
2575,Male,36,Chill,17,No,NetEase Cloud,USA,Family,Medium,Mobile,Night,14
2576,Male,30,J-Pop,24,Yes,Amazon Music,India,Family,Low,Mobile,Evening,30
2577,Male,28,J-Pop,8,Yes,NetEase Cloud,China,Family,High,PC,Evening,43
2578,Male,18,Rock,23,No,Spotify,UK,Student,Medium,Mobile,Morning,88
2579,Male,41,Chill,26,Yes,NetEase Cloud,France,Free,High,Mobile,Night,9
2580,Female,39,Traditional,5,No,YouTube Music,Australia,Premium,Low,Tablet,Night,28
2581,Female,24,Chill,29,Yes,Apple Music,Japan,Premium,High,Mobile,Morning,53
2582,Male,42,Chill,15,Yes,NetEase Cloud,USA,Premium,Low,Tablet,Afternoon,24
2583,Male,38,Oldies,30,Yes,Amazon Music,Japan,Free,High,Mobile,Night,36
2584,Male,32,Traditional,20,No,YouTube Music,France,Family,Low,Mobile,Afternoon,33
2585,Female,18,J-Pop,23,No,Apple Music,China,Free,Low,Mobile,Morning,63
2586,Female,29,Rock,23,Yes,Spotify,Brazil,Premium,Low,Tablet,Evening,37
2587,Female,43,K-Pop,16,Yes,NetEase Cloud,Japan,Free,Low,Tablet,Evening,31
2588,Female,24,K-Pop,7,Yes,YouTube Music,UK,Premium,Medium,Tablet,Morning,47
2589,Female,32,Traditional,27,No,Amazon Music,Australia,Premium,Medium,Mobile,Night,40
2590,Female,38,Oldies,28,No,Amazon Music,UK,Premium,Low,Mobile,Afternoon,14
2591,Male,36,Pop,22,Yes,YouTube Music,Germany,Free,High,Mobile,Morning,11
2592,Female,45,Jazz,21,Yes,NetEase Cloud,France,Family,High,Mobile,Evening,40
2593,Female,42,Traditional,9,Yes,NetEase Cloud,China,Family,Medium,Mobile,Evening,29
2594,Female,18,Jazz,20,No,YouTube Music,Germany,Family,High,Tablet,Night,46
2595,Male,34,Oldies,28,Yes,YouTube Music,USA,Family,Low,Tablet,Night,30
2596,Female,34,Oldies,18,Yes,YouTube Music,Australia,Family,Low,Mobile,Afternoon,39
2597,Male,20,Rock,23,Yes,Apple Music,Japan,Premium,High,PC,Afternoon,54
2598,Male,29,Chill,10,Yes,Spotify,UK,Family,Medium,PC,Afternoon,62
2599,Female,23,EDM,7,Yes,Apple Music,China,Student,Medium,Mobile,Morning,94
2600,Female,43,Jazz,10,Yes,Apple Music,France,Premium,High,Tablet,Afternoon,9
2601,Female,28,Jazz,16,Yes,QQ Music,China,Family,Medium,PC,Morning,59
2602,Male,20,Pop,24,Yes,Apple Music,Brazil,Free,High,Mobile,Morning,98
2603,Female,25,Rock,15,Yes,Apple Music,Germany,Free,High,Tablet,Night,73
2604,Male,31,EDM,11,Yes,QQ Music,China,Premium,Medium,Mobile,Morning,28
2605,Male,31,EDM,30,No,Amazon Music,France,Premium,High,Mobile,Night,22
2606,Female,27,Pop,5,No,Apple Music,Australia,Premium,Medium,Mobile,Afternoon,94
2607,Female,19,J-Pop,20,No,YouTube Music,Japan,Premium,Low,Mobile,Morning,70
2608,Female,31,Chill,20,Yes,Apple Music,France,Family,Low,Mobile,Afternoon,29
2609,Male,26,K-Pop,21,No,YouTube Music,Brazil,Premium,Medium,Tablet,Morning,82
2610,Female,20,Pop,19,Yes,Apple Music,Australia,Premium,High,PC,Morning,58
2611,Male,38,Rock,25,Yes,Amazon Music,Japan,Free,Low,Mobile,Night,32
2612,Female,43,Oldies,13,Yes,Amazon Music,UK,Family,High,Tablet,Afternoon,38
2613,Male,25,J-Pop,9,Yes,Spotify,Australia,Family,Low,Mobile,Morning,66
2614,Female,33,Jazz,24,Yes,Amazon Music,USA,Family,Medium,Mobile,Evening,26
2615,Female,19,Chill,12,Yes,Apple Music,USA,Student,High,Mobile,Morning,33
